1,01/01/2021,9am,none,none,none,true
1,02/01/2021,12pm,none,none,none,true
1,03/01/2021,3am,none,none,none,true
2,01/01/2021,9am,none,none,none,true
2,02/01/2021,9am,none,none,none,true
2,03/01/2021,9am,none,none,none,true
3,01/01/2021,9am,none,none,none,true
3,02/01/2021,9am,none,none,none,true
3,03/01/2021,9am,none,none,none,true
4,01/01/2021,9am,none,none,none,true
4,02/01/2021,9am,none,none,none,true
4,03/01/2021,9am,none,none,none,true
5,01/01/2021,9am,none,none,none,true
5,02/01/2021,9am,none,none,none,true
5,03/01/2021,9am,none,none,none,true
5,03/01/2021,3pm,none,none,none,true
5,03/01/2021,12pm,none,none,none,true